site;plot;id;type;length
Bordjies ;B1;Q1;Canopy;320
Bordjies ;B1;Q1;Canopy;340
Bordjies ;B1;Q1;Canopy;345
Bordjies ;B1;Q1;Canopy;330
Bordjies ;B1;Q1;Canopy;310
Bordjies ;B1;Q2;Canopy;310
Bordjies ;B1;Q2;Sub-Canopy;51
Bordjies ;B1;Q2;Canopy;340
Bordjies ;B1;Q2;Canopy;340
Bordjies ;B1;Q2;Canopy;330
Bordjies ;B1;Q3;Recruits;0
Bordjies ;B1;Q4;Canopy;253
Bordjies ;B1;Q4;Sub-Canopy;150
Bordjies ;B1;Q4;Sub-Canopy;280
Bordjies ;B1;Q5;Sub-Canopy;276
Bordjies ;B1;Q5;Canopy;332
Bordjies ;B1;Q5;Sub-Canopy;284
Bordjies ;B1;Q5;Sub-Canopy;210
Bordjies ;B1;Q5;Canopy;305
Bordjies ;B1;Q5;Canopy;356
Bordjies ;B1;Q5;Sub-Canopy;212
Bordjies ;B1;Q5;Canopy;305
Bordjies ;B1;Q6;Recruits;0
Bordjies ;B1;Q7;Canopy;313
Bordjies ;B1;Q7;Canopy;325
Bordjies ;B1;Q7;Sub-Canopy;295
Bordjies ;B1;Q7;Canopy;342
Bordjies ;B1;Q8;Canopy;351
Bordjies ;B2;Q9;Canopy;350
Bordjies ;B2;Q9;Canopy;300
Bordjies ;B2;Q9;Canopy;340
Bordjies ;B2;Q9;Canopy;335
Bordjies ;B2;Q10;Recruits;0
Bordjies ;B2;Q11;Sub-Canopy;53
Bordjies ;B2;Q11;Canopy;360
Bordjies ;B2;Q11;Canopy;345
Bordjies ;B2;Q11;Canopy;370
Bordjies ;B2;Q12;Canopy;300
Bordjies ;B2;Q12;Canopy;360
Bordjies ;B2;Q12;Canopy;320
Bordjies ;B2;Q13;Canopy;320
Bordjies ;B2;Q13;Canopy;300
Bordjies ;B2;Q13;Sub-Canopy;210
Bordjies ;B2;Q13;Sub-Canopy;280
Bordjies ;B2;Q14;Recruits;0
Bordjies ;B2;Q15;Sub-Canopy;64
Bordjies ;B2;Q15;Sub-Canopy;101
Bordjies ;B2;Q15;Sub-Canopy;128
Bordjies ;B2;Q15;Sub-Canopy;137
Bordjies ;B2;Q15;None;0
Bordjies ;B2;Q16;Sub-Canopy;65
Bordjies ;B2;Q16;Canopy;304
Oudekraal;O1;Q17;Sub-Canopy;51
Oudekraal;O1;Q17;Sub-Canopy;78
Oudekraal;O1;Q17;Sub-Canopy;56
Oudekraal;O1;Q17;Sub-Canopy;51
Oudekraal;O1;Q17;Sub-Canopy;53
Oudekraal;O1;Q18;Sub-Canopy;450
Oudekraal;O1;Q18;Sub-Canopy;175
Oudekraal;O1;Q18;Canopy;576
Oudekraal;O1;Q19;Canopy;557
Oudekraal;O1;Q19;Canopy;519
Oudekraal;O1;Q19;None;0
Oudekraal;O1;Q19;None;0
Oudekraal;O1;Q20;Canopy;526
Oudekraal;O1;Q20;Canopy;543
Oudekraal;O1;Q20;Sub-Canopy;470
Oudekraal;O1;Q20;Canopy;517
Oudekraal;O1;Q20;Sub-Canopy;416
Oudekraal;O1;Q20;Sub-Canopy;151
Oudekraal;O1;Q20;Sub-Canopy;450
Oudekraal;O1;Q20;Canopy;515
Oudekraal;O1;Q20;Sub-Canopy;231
Oudekraal;O1;Q20;Sub-Canopy;105
Oudekraal;O1;Q20;Sub-Canopy;487
Oudekraal;O1;Q21;Sub-Canopy;127
Oudekraal;O1;Q21;Sub-Canopy;82
Oudekraal;O1;Q21;Canopy;535
Oudekraal;O1;Q21;Canopy;505
Oudekraal;O1;Q21;Sub-Canopy;152
Oudekraal;O1;Q21;Sub-Canopy;72
Oudekraal;O1;Q21;Sub-Canopy;54
Oudekraal;O1;Q21;Recruits;0
Oudekraal;O1;Q21;Recruits;0
Oudekraal;O1;Q21;Recruits;0
Oudekraal;O1;Q21;Recruits;0
Oudekraal;O1;Q22;Sub-Canopy;55
Oudekraal;O1;Q22;Sub-Canopy;73
Oudekraal;O1;Q22;Canopy;556
Oudekraal;O1;Q22;Canopy;570
Oudekraal;O1;Q22;Sub-Canopy;154
Oudekraal;O1;Q22;Sub-Canopy;470
Oudekraal;O1;Q22;Recruits;0
Oudekraal;O1;Q23;Sub-Canopy;262
Oudekraal;O1;Q23;Sub-Canopy;302
Oudekraal;O1;Q23;Sub-Canopy;142
Oudekraal;O1;Q23;Sub-Canopy;202
Oudekraal;O1;Q23;Sub-Canopy;464
Oudekraal;O1;Q24;Sub-Canopy;421
Oudekraal;O1;Q24;Sub-Canopy;423
Oudekraal;O1;Q24;Sub-Canopy;494
Oudekraal;O1;Q24;Sub-Canopy;205
Oudekraal;O1;Q24;Canopy;511
Oudekraal;O1;Q24;Canopy;539
Oudekraal;O1;Q24;Canopy;508
Oudekraal;O1;Q24;Canopy;532
Oudekraal;O1;Q24;Canopy;600
Oudekraal;O1;Q24;Sub-Canopy;380
Oudekraal;O1;Q24;Sub-Canopy;125
Oudekraal;O1;Q24;Sub-Canopy;56
