site,plot,no,id,type,recruits,adults,length
Bordjies Reef,Plot B1,B1,B1Q1,Canopy,45,5,320
Bordjies Reef,Plot B1,B2,B1Q1,Canopy,45,5,340
Bordjies Reef,Plot B1,B3,B1Q1,Canopy,45,5,345
Bordjies Reef,Plot B1,B4,B1Q1,Canopy,45,5,330
Bordjies Reef,Plot B1,B5,B1Q1,Canopy,45,5,310
Bordjies Reef,Plot B1,B6,B1Q2,Canopy,13,5,310
Bordjies Reef,Plot B1,B7,B1Q2,Sub-Canopy,13,5,51
Bordjies Reef,Plot B1,B8,B1Q2,Canopy,13,5,340
Bordjies Reef,Plot B1,B9,B1Q2,Canopy,13,5,340
Bordjies Reef,Plot B1,B10,B1Q2,Canopy,13,5,330
Bordjies Reef,Plot B1,B11,B1Q3,Recruits,9,0,0
Bordjies Reef,Plot B1,B12,B1Q4,Canopy,35,3,253
Bordjies Reef,Plot B1,B13,B1Q4,Sub-Canopy,35,3,150
Bordjies Reef,Plot B1,B14,B1Q4,Sub-Canopy,35,3,280
Bordjies Reef,Plot B1,B15,B1Q5,Sub-Canopy,17,8,276
Bordjies Reef,Plot B1,B16,B1Q5,Canopy,17,8,332
Bordjies Reef,Plot B1,B17,B1Q5,Sub-Canopy,17,8,284
Bordjies Reef,Plot B1,B18,B1Q5,Sub-Canopy,17,8,210
Bordjies Reef,Plot B1,B19,B1Q5,Canopy,17,8,305
Bordjies Reef,Plot B1,B20,B1Q5,Canopy,17,8,356
Bordjies Reef,Plot B1,B21,B1Q5,Sub-Canopy,17,8,212
Bordjies Reef,Plot B1,B22,B1Q5,Canopy,17,8,305
Bordjies Reef,Plot B1,B23,B1Q6,Recruits,2,0,0
Bordjies Reef,Plot B1,B24,B1Q7,Canopy,72,4,313
Bordjies Reef,Plot B1,B25,B1Q7,Canopy,72,4,325
Bordjies Reef,Plot B1,B26,B1Q7,Sub-Canopy,72,4,295
Bordjies Reef,Plot B1,B27,B1Q7,Canopy,72,4,342
Bordjies Reef,Plot B1,B28,B1Q8,Canopy,27,1,351
Bordjies Reef,Plot B2,B29,B2Q1,Canopy,24,4,350
Bordjies Reef,Plot B2,B30,B2Q1,Canopy,24,4,300
Bordjies Reef,Plot B2,B31,B2Q1,Canopy,24,4,340
Bordjies Reef,Plot B2,B32,B2Q1,Canopy,24,4,335
Bordjies Reef,Plot B2,B33,B2Q2,Recruits,6,0,0
Bordjies Reef,Plot B2,B34,B2Q3,Sub-Canopy,28,4,53
