site;plot;id;recruits;adults
Bordjies ;B1;Q1;45;5
Bordjies ;B1;Q2;13;5
Bordjies ;B1;Q3;9;0
Bordjies ;B1;Q4;35;3
Bordjies ;B1;Q5;17;8
Bordjies ;B1;Q6;2;0
Bordjies ;B1;Q7;72;4
Bordjies ;B1;Q8;27;1
Bordjies ;B2;Q9;24;4
Bordjies ;B2;Q10;6;0
Bordjies ;B2;Q11;28;4
Bordjies ;B2;Q12;42;7
Bordjies ;B2;Q13;11;0
Bordjies ;B2;Q14;12;4
Bordjies ;B2;Q15;0;0
Bordjies ;B2;Q16;19;2
Oudekraal;O1;Q1;0;5
Oudekraal;O1;Q2;0;3
Oudekraal;O1;Q3;0;0
Oudekraal;O1;Q4;0;11
Oudekraal;O1;Q5;1;7
Oudekraal;O1;Q6;5;6
Oudekraal;O1;Q7;3;5
Oudekraal;O1;Q8;7;13
Oudekraal;O2;Q9;0;4
Oudekraal;O2;Q10;0;1
Oudekraal;O2;Q11;0;11
Oudekraal;O2;Q12;3;1
Oudekraal;O2;Q13;32;5
Oudekraal;O2;Q14;4;9
Oudekraal;O2;Q15;5;9
Oudekraal;O2;Q16;13;13
Betty's Bay;Y1;Q1;0;7
Betty's Bay;Y1;Q2;0;3
Betty's Bay;Y1;Q3;0;2
Betty's Bay;Y1;Q4;0;10
Betty's Bay;Y1;Q5;0;4
Betty's Bay;Y1;Q6;0;8
Betty's Bay;Y1;Q7;0;13
Betty's Bay;Y1;Q8;0;4
Betty's Bay;Y2;Q9;0;4
Betty's Bay;Y2;Q10;0;4
Betty's Bay;Y2;Q11;0;1
Betty's Bay;Y2;Q12;0;1
Betty's Bay;Y2;Q13;0;4
Betty's Bay;Y2;Q14;0;3
Betty's Bay;Y2;Q15;0;3
Betty's Bay;Y2;Q16;0;3
