Site,Month,Replicate,Jasus lalandii,Haliotis midae
Oudekraal,May,O1T1,0,1
Oudekraal,May,O1T2,1,0
Oudekraal,May,O1T3,1,0
Oudekraal,May,O1T4,0,1
Oudekraal,May,O2T1,4,0
Oudekraal,May,O2T2,1,1
Oudekraal,May,O2T3,16,0
Oudekraal,May,O2T4,0,0
Oudekraal,August,O1T1,0,0
Oudekraal,August,O1T2,0,0
Oudekraal,August,O1T3,0,2
Oudekraal,August,O1T4,0,5
Oudekraal,August,O2T1,0,0
Oudekraal,August,O2T2,0,0
Oudekraal,August,O2T3,0,0
Oudekraal,August,O2T4,0,0
Bordjies,July,B3T1,0,0
Bordjies,July,B3T2,0,0
Bordjies,July,B3T3,0,1
Bordjies,July,B3T4,0,1
Bordjies,July,B4T1,0,0
Bordjies,July,B4T2,1,0
Bordjies,July,B4T3,0,0
Bordjies,July,B4T4,0,0
Bordjies,November,B3T1,0,2
Bordjies,November,B3T2,0,0
Bordjies,November,B3T3,0,0
Bordjies,November,B3T4,0,3
Bordjies,November,B4T1,0,0
Bordjies,November,B4T2,0,1
Bordjies,November,B4T3,0,0
Bordjies,November,B4T4,0,0
Oudekraal,November,O1T1,0,2
Oudekraal,November,O1T2,0,0
Oudekraal,November,O1T3,0,5
Oudekraal,November,O1T4,0,0
Oudekraal,November,O2T1,0,0
Oudekraal,November,O2T2,0,1
Oudekraal,November,O2T3,0,0
Oudekraal,November,O2T4,0,3
Bordjies,January,B3T1,0,0
Bordjies,January,B3T2,0,0
Bordjies,January,B3T3,0,0
Bordjies,January,B3T4,0,0
Bordjies,January,B4T1,0,1
Bordjies,January,B4T2,0,0
Bordjies,January,B4T3,0,0
Bordjies,January,B4T4,0,0
