Site,Phase,Replicate,Rock,Sand,Foliose,CC,Silt,Mussel,Sponge,Bryozoan,Colonial acsidian,Pyura stonlinifera,Dwarf barnacles,Burnupena sp,Urchins,Henricia ornata,Cymbulla compressa,Other Gastropod,Turbo cidaris,Oxystele sinensis,Chiton tulipa,Anemone,Comanthus wahlbergi,Kelp recruits,Kelp Adults
Oudekraal,Before,O3Q1,100,0,30,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Oudekraal,Before,O3Q2,100,0,40,5,0,90,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Oudekraal,Before,O3Q3,100,0,20,0,90,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3
Oudekraal,Before,O3Q4,100,0,10,5,90,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,3,7
Oudekraal,Before,O3Q5,100,0,0,5,0,90,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,12,8
Oudekraal,Before,O3Q6,100,0,10,0,90,90,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,2
Oudekraal,Before,O3Q7,100,0,20,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Oudekraal,Before,O3Q8,100,0,10,0,0,90,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6
Oudekraal,Before,O4Q1,0,0,60,0.5,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Oudekraal,Before,O4Q2,0,0,65,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
Oudekraal,Before,O4Q3,0,0,70,25,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,8
Oudekraal,Before,O4Q4,0,0,80,100,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,7
Oudekraal,Before,O4Q5,0,10,70,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
