Site,Month,Replicate,Stipe length
Oudekraal,May,O3Q1,455
Oudekraal,May,O3Q1,455
Oudekraal,May,O3Q1,470
Oudekraal,May,O3Q2,145
Oudekraal,May,O3Q2,570
Oudekraal,May,O3Q2,554
Oudekraal,May,O3Q2,561
Oudekraal,May,O3Q2,103
Oudekraal,May,O3Q2,573
Oudekraal,May,O3Q2,558
Oudekraal,May,O3Q3,440
Oudekraal,May,O3Q3,445
Oudekraal,May,O3Q3,430
Oudekraal,May,O3Q3,370
Oudekraal,May,O3Q3,120
Oudekraal,May,O3Q3,404
Oudekraal,May,O3Q3,345
Oudekraal,May,O3Q4,537
Oudekraal,May,O3Q4,515
Oudekraal,May,O3Q4,445
Oudekraal,May,O3Q4,470
Oudekraal,May,O3Q4,483
Oudekraal,May,O3Q4,495
Oudekraal,May,O3Q4,305
Oudekraal,May,O3Q4,82
Oudekraal,May,O3Q5,450
Oudekraal,May,O3Q5,394
Oudekraal,May,O3Q5,451
Oudekraal,May,O3Q5,445
Oudekraal,May,O3Q5,131
Oudekraal,May,O3Q5,285
Oudekraal,May,O3Q6,480
Oudekraal,May,O3Q6,499
Oudekraal,May,O3Q6,77
Oudekraal,May,O3Q6,38
Oudekraal,May,O3Q6,17
Oudekraal,May,O3Q7,0
Oudekraal,May,O3Q8,0
Oudekraal,May,O4Q1,17
Oudekraal,May,O4Q1,107
Oudekraal,May,O4Q1,750
Oudekraal,May,O4Q1,176
Oudekraal,May,O4Q1,278
Oudekraal,May,O4Q1,141
Oudekraal,May,O4Q2,22
Oudekraal,May,O4Q2,117
Oudekraal,May,O4Q2,99
Oudekraal,May,O4Q3,106
Oudekraal,May,O4Q3,44
Oudekraal,May,O4Q3,40
Oudekraal,May,O4Q3,47
Oudekraal,May,O4Q4,381
Oudekraal,May,O4Q4,344
Oudekraal,May,O4Q4,78
Oudekraal,May,O4Q4,450
Oudekraal,May,O4Q4,369
Oudekraal,May,O4Q5,59
Oudekraal,May,O4Q5,58
Oudekraal,May,O4Q5,45
Oudekraal,May,O4Q5,36
Oudekraal,May,O4Q5,332
Oudekraal,May,O4Q5,72
Oudekraal,May,O4Q5,48
Oudekraal,May,O4Q5,188
Oudekraal,May,O4Q6,142
Oudekraal,May,O4Q6,272
Oudekraal,May,O4Q7,92
Oudekraal,May,O4Q7,28
Oudekraal,May,O4Q7,25
Oudekraal,May,O4Q8,303
Oudekraal,May,O4Q8,358
Oudekraal,May,O4Q8,357
Oudekraal,May,O4Q8,376
Oudekraal,May,O4Q8,324
Oudekraal,May,O4Q8,107
Bordjies,July,B3Q1,24
Bordjies,July,B3Q1,30
Bordjies,July,B3Q1,19
Bordjies,July,B3Q1,18
Bordjies,July,B3Q1,19
Bordjies,July,B3Q1,27
Bordjies,July,B3Q2,19
Bordjies,July,B3Q2,29
Bordjies,July,B3Q2,23
Bordjies,July,B3Q2,23
Bordjies,July,B3Q2,32
Bordjies,July,B3Q2,25
Bordjies,July,B3Q2,53
Bordjies,July,B3Q3,25
Bordjies,July,B3Q3,24
Bordjies,July,B3Q3,18
Bordjies,July,B3Q3,19
Bordjies,July,B3Q3,20
Bordjies,July,B3Q3,27
Bordjies,July,B3Q3,15
Bordjies,July,B3Q4,0
Bordjies,July,B3Q5,44
Bordjies,July,B3Q5,104
Bordjies,July,B3Q5,29
Bordjies,July,B3Q5,130
Bordjies,July,B3Q5,55
Bordjies,July,B3Q5,21
Bordjies,July,B3Q5,29
Bordjies,July,B3Q5,35
Bordjies,July,B3Q6,24
Bordjies,July,B3Q6,20
Bordjies,July,B3Q6,24
Bordjies,July,B3Q7,25
Bordjies,July,B3Q7,39
Bordjies,July,B3Q7,52
Bordjies,July,B3Q7,19
Bordjies,July,B3Q7,29
Bordjies,July,B3Q7,60
Bordjies,July,B3Q7,65
Bordjies,July,B3Q7,64
Bordjies,July,B3Q7,35
Bordjies,July,B3Q7,57
Bordjies,July,B3Q7,90
Bordjies,July,B3Q7,119
Bordjies,July,B3Q7,53
Bordjies,July,B3Q7,18
Bordjies,July,B3Q7,30
Bordjies,July,B3Q7,29
Bordjies,July,B3Q7,18
Bordjies,July,B3Q8,386
Bordjies,July,B3Q8,281
Bordjies,July,B4Q1,34
Bordjies,July,B4Q1,22
Bordjies,July,B4Q1,44
Bordjies,July,B4Q1,25
Bordjies,July,B4Q1,38
Bordjies,July,B4Q1,44
Bordjies,July,B4Q1,35
Bordjies,July,B4Q1,32
Bordjies,July,B4Q1,32
Bordjies,July,B4Q2,0
Bordjies,July,B4Q3,22
Bordjies,July,B4Q3,328
Bordjies,July,B4Q4,360
Bordjies,July,B4Q4,370
Bordjies,July,B4Q5,352
Bordjies,July,B4Q5,321
Bordjies,July,B4Q6,0
Bordjies,July,B4Q7,22
Bordjies,July,B4Q7,18
Bordjies,July,B4Q7,31
Bordjies,July,B4Q7,32
Bordjies,July,B4Q7,20
Bordjies,July,B4Q7,16
Bordjies,July,B4Q8,357
Bordjies,July,B4Q8,349
Bordjies,July,B4Q8,352
